Question,Table_description ,label
"Provide details on Boston University, Boston.",This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
"Provide details on Boston University, Boston.",This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
"Provide details on Boston University, Boston.",This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the average acceptance rate for Boston University for undergraduate program?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the average acceptance rate for Boston University for undergraduate program?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the average acceptance rate for Boston University for undergraduate program?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the average acceptance rate for Boston University for undergraduate program?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What is the average acceptance rate for Boston University for undergraduate program?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What is the average acceptance rate for Boston University for undergraduate program?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many universities that offer both graduate and undergraduate programs in California state.,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many universities that offer both graduate and undergraduate programs in California state.,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many universities that offer both graduate and undergraduate programs in California state.,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many universities that offer both graduate and undergraduate programs in California state.,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many universities that offer both graduate and undergraduate programs in California state.,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many universities that offer both graduate and undergraduate programs in California state.,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List the universities that are historically black universities that offer graduate programs.,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List the universities that are historically black universities that offer graduate programs.,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List the universities that are historically black universities that offer graduate programs.,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List the universities that are historically black universities that offer graduate programs.,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
List the universities that are historically black universities that offer graduate programs.,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
List the universities that are historically black universities that offer graduate programs.,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List the universities in Alabama state along with their city and addresses.,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List the universities in Alabama state along with their city and addresses.,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List the universities in Alabama state along with their city and addresses.,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List the universities in Alabama state along with their city and addresses.,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
List the universities in Alabama state along with their city and addresses.,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
List the universities in Alabama state along with their city and addresses.,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List the universities in Massachusetts state that are located in rural areas.,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List the universities in Massachusetts state that are located in rural areas.,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List the universities in Massachusetts state that are located in rural areas.,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List the universities in Massachusetts state that are located in rural areas.,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
List the universities in Massachusetts state that are located in rural areas.,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
List the universities in Massachusetts state that are located in rural areas.,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Average number of non resident U.S. students in Northeastern University across all races/ethinicities.,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Average number of non resident U.S. students in Northeastern University across all races/ethinicities.,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Average number of non resident U.S. students in Northeastern University across all races/ethinicities.,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,1
Average number of non resident U.S. students in Northeastern University across all races/ethinicities.,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Average number of non resident U.S. students in Northeastern University across all races/ethinicities.,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Average number of non resident U.S. students in Northeastern University across all races/ethinicities.,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Which universities require personal statement or essay for getting admission in undergraduate program in Texas state?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which universities require personal statement or essay for getting admission in undergraduate program in Texas state?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which universities require personal statement or essay for getting admission in undergraduate program in Texas state?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which universities require personal statement or essay for getting admission in undergraduate program in Texas state?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Which universities require personal statement or essay for getting admission in undergraduate program in Texas state?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Which universities require personal statement or essay for getting admission in undergraduate program in Texas state?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Which universities require secondary school GPA for getting admission in undergraduate program in Texas?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which universities require secondary school GPA for getting admission in undergraduate program in Texas?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which universities require secondary school GPA for getting admission in undergraduate program in Texas?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which universities require secondary school GPA for getting admission in undergraduate program in Texas?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Which universities require secondary school GPA for getting admission in undergraduate program in Texas?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Which universities require secondary school GPA for getting admission in undergraduate program in Texas?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What are the total female applicants in Boston University for undergraduate?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What are the total female applicants in Boston University for undergraduate?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What are the total female applicants in Boston University for undergraduate?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What are the total female applicants in Boston University for undergraduate?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What are the total female applicants in Boston University for undergraduate?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What are the total female applicants in Boston University for undergraduate?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What are the top 5 universities in Florida state shows Highest number of men enrolled for the graduate program in 2022?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What are the top 5 universities in Florida state shows Highest number of men enrolled for the graduate program in 2022?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What are the top 5 universities in Florida state shows Highest number of men enrolled for the graduate program in 2022?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What are the top 5 universities in Florida state shows Highest number of men enrolled for the graduate program in 2022?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
What are the top 5 universities in Florida state shows Highest number of men enrolled for the graduate program in 2022?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
What are the top 5 universities in Florida state shows Highest number of men enrolled for the graduate program in 2022?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
"What is the average SAT and ACT scores for admitted students at Boston University, Boston?",This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
